id_student,num_of_prev_attempts,studied_credits,avg_assessment_score,assessment_count,total_vle_clicks,date_registration,date_unregistration,module_presentation_length,final_score,dropout,Target_code_module,Target_code_presentation,Target_gender,Target_region,Target_highest_education,Target_imd_band,Target_age_band,Target_disability,Target_final_result
11391,0,240,82.0,5,934,-159.0,49.757644956314536,268,78.0,0,0.16844919786096257,0.2678349349915206,0.3172027972027972,0.3011976047904192,0.2712473572938689,0.2586750788643533,0.25,0.30279656121512794,0.0
28400,0,60,66.4,5,1435,-53.0,49.757644956314536,268,70.0,0,0.16844919786096257,0.2678349349915206,0.30479684739774426,0.263203714451538,0.2712473572938689,0.3615216201423098,0.2884554224530902,0.30279656121512794,0.0
30268,0,60,0.0,0,281,-92.0,12.0,268,72.27975744871986,1,0.16844919786096257,0.2678349349915206,0.30479684739774426,0.3558155540261528,0.28693485226059096,0.30940943769426393,0.2884554224530902,0.39348925410872315,1.0
31604,0,60,76.0,5,2158,-52.0,49.757644956314536,268,72.0,0,0.16844919786096257,0.2678349349915206,0.30479684739774426,0.3074372335386073,0.28693485226059096,0.2877720870678617,0.2884554224530902,0.30279656121512794,0.0
32885,0,60,54.4,5,1034,-176.0,49.757644956314536,268,69.0,0,0.16844919786096257,0.2678349349915206,0.30479684739774426,0.35360185902401237,0.3511171910624715,0.2877720870678617,0.3216963040446304,0.30279656121512794,0.0
38053,0,60,68.0,5,2445,-110.0,49.757644956314536,268,79.0,0,0.16844919786096257,0.2678349349915206,0.3172027972027972,0.25119846596356665,0.28693485226059096,0.280231716147719,0.2884554224530902,0.30279656121512794,0.0
45462,0,60,68.0,5,1492,-67.0,49.757644956314536,268,70.0,0,0.16844919786096257,0.2678349349915206,0.3172027972027972,0.263203714451538,0.2712473572938689,0.30940943769426393,0.3216963040446304,0.30279656121512794,0.0
45642,0,120,72.4,5,1428,-29.0,49.757644956314536,268,72.0,0,0.16844919786096257,0.2678349349915206,0.30479684739774426,0.3558155540261528,0.28693485226059096,0.2586750788643533,0.3216963040446304,0.30279656121512794,0.0
52130,0,90,71.4,5,1894,-33.0,49.757644956314536,268,72.0,0,0.16844919786096257,0.2678349349915206,0.30479684739774426,0.3011976047904192,0.28693485226059096,0.27683223341438,0.3216963040446304,0.30279656121512794,0.0
53025,0,60,78.0,5,3158,-179.0,49.757644956314536,268,71.0,0,0.16844919786096257,0.2678349349915206,0.3172027972027972,0.3154141524958859,0.2364217252396166,0.21242124212421243,0.25,0.30279656121512794,0.0
57506,0,60,74.0,5,1319,-103.0,49.757644956314536,268,68.0,0,0.16844919786096257,0.2678349349915206,0.3172027972027972,0.3001293661060802,0.3511171910624715,0.27683223341438,0.2884554224530902,0.30279656121512794,0.0
58873,0,60,73.2,5,1732,-47.0,49.757644956314536,268,73.0,0,0.16844919786096257,0.2678349349915206,0.30479684739774426,0.3011976047904192,0.28693485226059096,0.3615216201423098,0.3216963040446304,0.30279656121512794,0.0
59185,0,60,78.6,5,1102,-59.0,49.757644956314536,268,67.0,0,0.16844919786096257,0.2678349349915206,0.3172027972027972,0.3011976047904192,0.3511171910624715,0.295697074010327,0.2884554224530902,0.30279656121512794,0.0
62155,0,60,76.0,5,3388,-68.0,49.757644956314536,268,73.0,0,0.16844919786096257,0.2678349349915206,0.30479684739774426,0.3558155540261528,0.2712473572938689,0.2877720870678617,0.3216963040446304,0.30279656121512794,0.0
63400,0,60,71.6,5,2737,-67.0,49.757644956314536,268,83.0,0,0.16844919786096257,0.2678349349915206,0.3172027972027972,0.263203714451538,0.3511171910624715,0.32002457002457,0.2884554224530902,0.30279656121512794,0.0
65002,0,60,67.0,2,171,-180.0,96.0,268,66.0,1,0.16844919786096257,0.2678349349915206,0.30479684739774426,0.3011976047904192,0.28693485226059096,0.27683223341438,0.3216963040446304,0.30279656121512794,1.0
70464,0,60,55.6,5,1053,-95.0,49.757644956314536,268,59.0,0,0.16844919786096257,0.2678349349915206,0.30479684739774426,0.35360185902401237,0.28693485226059096,0.295697074010327,0.2884554224530902,0.30279656121512794,0.0
71361,0,60,80.4,5,2327,-130.0,49.757644956314536,268,82.0,0,0.16844919786096257,0.2678349349915206,0.3172027972027972,0.23057432432432431,0.2712473572938689,0.21242124212421243,0.2884554224530902,0.30279656121512794,0.0
74372,0,150,48.5,4,116,-50.0,49.757644956314536,268,60.0,0,0.16844919786096257,0.2678349349915206,0.3172027972027972,0.3011976047904192,0.28693485226059096,0.3543799772468714,0.2884554224530902,0.30279656121512794,0.0
75091,0,60,66.0,5,2992,-107.0,49.757644956314536,268,67.0,0,0.16844919786096257,0.2678349349915206,0.3172027972027972,0.3111658456486043,0.28693485226059096,0.30940943769426393,0.2884554224530902,0.30279656121512794,0.0
77367,0,60,70.4,5,680,-27.0,49.757644956314536,268,73.0,0,0.16844919786096257,0.2678349349915206,0.3172027972027972,0.347568710359408,0.28693485226059096,0.30940943769426393,0.3216963040446304,0.30279656121512794,0.0
91265,0,60,70.8,5,1494,-31.0,49.757644956314536,268,75.0,0,0.16844919786096257,0.2678349349915206,0.3172027972027972,0.3558155540261528,0.2712473572938689,0.37179099969797647,0.3216963040446304,0.30279656121512794,0.0
94961,0,60,74.0,1,339,-170.0,72.0,268,74.0,1,0.16844919786096257,0.2678349349915206,0.3172027972027972,0.3001293661060802,0.3511171910624715,0.27683223341438,0.2884554224530902,0.30279656121512794,1.0
98094,0,60,60.6,5,2839,-107.0,49.757644956314536,268,62.0,0,0.16844919786096257,0.2678349349915206,0.3172027972027972,0.25119846596356665,0.3511171910624715,0.27683223341438,0.2884554224530902,0.30279656121512794,0.0
100893,0,60,68.4,5,744,-62.0,49.757644956314536,268,63.0,0,0.16844919786096257,0.2678349349915206,0.3172027972027972,0.3275174476570289,0.28693485226059096,0.3615216201423098,0.3216963040446304,0.30279656121512794,0.0
101781,0,60,72.6,5,4104,-103.0,49.757644956314536,268,84.0,0,0.16844919786096257,0.2678349349915206,0.3172027972027972,0.3001293661060802,0.3511171910624715,0.280231716147719,0.2884554224530902,0.30279656121512794,0.0
102806,0,60,78.0,5,1944,-107.0,49.757644956314536,268,80.0,0,0.16844919786096257,0.2678349349915206,0.3172027972027972,0.3558155540261528,0.28693485226059096,0.30940943769426393,0.3216963040446304,0.30279656121512794,0.0
102952,0,60,76.6,5,1150,-100.0,49.757644956314536,268,76.0,0,0.16844919786096257,0.2678349349915206,0.3172027972027972,0.3451492537313433,0.2712473572938689,0.295697074010327,0.3216963040446304,0.30279656121512794,0.0
